Column 1	Column 3
Lizzie      	81.572 
Lacey       	81.581 
Kirsten     	81.590 
Keri        	81.599 
Jess        	81.608 
Jayne       	81.617 
Jaclyn      	81.626 
Humberto    	81.635 
Gracie      	81.644 
Glenna      	81.653 
Gabriela    	81.662 
Emmanuel    	81.671 
Dewayne     	81.680 
Demetrius   	81.689 
Clarice     	81.698 
Charity     	81.707 
Carmela     	81.716 
Bret        	81.725 
Beatriz     	81.734 
Adeline     	81.743 
Young       	81.751 
Vicente     	81.760 
Summer      	81.768 
Staci       	81.777 
Sheena      	81.785 
Shauna      	81.794 
Sammie      	81.802 
Royce       	81.811 
Rodger      	81.819 
Millie      	81.828 
Miles       	81.836 
Margret     	81.845 
Luella      	81.853 
Lily        	81.862 
Lea         	81.870 
Lamont      	81.879 
Katharine   	81.887 
Justine     	81.896 
Jodie       	81.904 
Jeanine     	81.913 
Heath       	81.921 
Harley      	81.930 
Garland     	81.938 
Gabrielle   	81.947 
Frieda      	81.955 
Ethan       	81.964 
Elma        	81.972 
Eldon       	81.981 
Efrain      	81.989 
Claudette   	81.998 
Christi     	82.006 
Cathleen    	82.015 
Autumn      	82.023 
Angeline    	82.032 
Angelia     	82.040 
Winnie      	82.048 
Willa       	82.056 
Sybil       	82.064 
Sterling    	82.072 
Socorro     	82.080 
Selma       	82.088 
Rocky       	82.096 
Pierre      	82.104 
Mavis       	82.112 
Martina     	82.120 
Maritza     	82.128 
Margo       	82.136 
Marcy       	82.144 
Manuela     	82.152 
Luisa       	82.160 
Lucile      	82.168 
Lorie       	82.176 
Leanne      	82.184 
Lara        	82.192 
Ladonna     	82.200 
Junior      	82.208 
Jeannine    	82.216 
Ivy         	82.224 
Grover      	82.232 
Gerry       	82.240 
Freddy      	82.248 
Elton       	82.256 
Eli         	82.264 
Dylan       	82.272 
Dolly       	82.280 
Deana       	82.288 
Damian      	82.296 
Cleveland   	82.304 
Chuck       	82.312 
Chase       	82.320 
Callie      	82.328 
Bryce       	82.336 
Bobbi       	82.344 
Antoine     	82.352 
Aileen      	82.360 
Abby        	82.368 
Virgie      	82.376 
Sydney      	82.383 
Stan        	82.391 
Simone      	82.398 
Russel      	82.406 
Reuben      	82.413 
Randi       	82.421 
Quentin     	82.428 
Ofelia      	82.436 
Murray      	82.443 
Monte       	82.451 
Meagan      	82.458 
Matilda     	82.466 
Magdalena   	82.473 
Leonardo    	82.481 
Leila       	82.488 
Leann       	82.496 
Latisha     	82.503 
Kasey       	82.511 
Jeri        	82.518 
Jasper      	82.526 
Hans        	82.533 
Georgina    	82.541 
Erwin       	82.548 
Ernie       	82.556 
Eliza       	82.563 
Curt        	82.571 
Cruz        	82.578 
Cornelia    	82.586 
Bridgette   	82.593 
Blaine      	82.601 
Bianca      	82.608 
Bettye      	82.616 
Benito      	82.623 
Barbra      	82.631 
August      	82.638 
Audra       	82.646 
Agustin     	82.653 
Wilfredo    	82.660 
Vance       	82.667 
Valarie     	82.674 
Tyson       	82.681 
Tia         	82.688 
Terrie      	82.695 
Son         	82.702 
Sharron     	82.709 
Ruthie      	82.716 
Rosalyn     	82.723 
Rhoda       	82.730 
Rae         	82.737 
Nola        	82.744 
Nelda       	82.751 
Minerva     	82.758 
Michel      	82.765 
Mia         	82.772 
Lilly       	82.779 
Lidia       	82.786 
Letha       	82.793 
Lenore      	82.800 
Joaquin     	82.807 
Jarrod      	82.814 
Jami        	82.821 
Jamal       	82.828 
Ila         	82.835 
Hilary      	82.842 
Harrison    	82.849 
Harlan      	82.856 
Haley       	82.863 
Greta       	82.870 
Gregorio    	82.877 
Flossie     	82.884 
Estela      	82.891 
Ericka      	82.898 
Elnora      	82.905 
Elliott     	82.912 
Elliot      	82.919 
Earline     	82.926 
Dona        	82.933 
Desmond     	82.940 
Denis       	82.947 
Darwin      	82.954 
